Tweet	lang
35 saal ka kachra saaf karnay main time lagay ga koi jadu ki chharri to ghumani hai nahin aap itni tension na lai	Mixed
rehamkhan1 look imrankhan picture and feel halka hlka jealous	Mixed
ese trha zia ul haq ney apko pakrra tha aur short kelna seka raha ta bhool gaye aur usi zia ki waja sy pora mulk bugad gya	Roman Urdu
bbc aur cnn na imran khan ki taqreer urdu ma deekae aj imran khan na urdu ko b izat dila di imrankhan pti	Roman Urdu
news alert shahid afridi ki wazer e azam imran khan ko mubarakbad imran khan p m insallah	Mixed
such sindh qaumi assembly k 267 halqon k sarkari nataij jari pti 115 pml n 64 ppp 43 mma 13 azad 13 mqm 6 pml q 4 gda 2 bnp 2 anp 1	Roman Urdu
waoo bht achi bat hai in shaa allah punjab province me bhi hakomat pti ki bane g	Mixed
waqai lanti hain itni khoshish ki ke pti jeetay mene subha 8 bje he vote diya tha pti sa	Roman Urdu
palwasha abbas dhandli karnay walo ko dhandli nahi karnay dee gai yeh bhi dhandli hai anp	Roman Urdu
apni auqaat dikhatay hain sooraj ki dekh kar thooknay se thook apnay oopar girti hai sooraj peh nahin	Roman Urdu
aa khan sb mubarak ho sar ik account bnaeen jis main mulk ka qaraz utrne ke leye log pese jama karwaen	Mixed
meri samajh se bahar hai ke indian media ko kya masla hai nayak film mai jab anil kapoor aisay election jeeta tha tb to inhe masla ni tha	Mixed
njlahori tlp ko mqm se ziyada vote milay	Roman Urdu
yeh kaun gadha hai jo mqm ko govt me invite kerne ke mashware de raha hai inhey	Mixed
waseembadami but my myth pti win mr usman dar	English
allah ne inko inki auqaat dikhadee jhootee aur maqqar aurat isko kaun jaanta tha sirf publicity ke liye itna gir gayi	Mixed
anp ney jeet k konsa kala bagh dam bana dena tha	Roman Urdu
rehamkhan1 baji u know what ap jo bolna chahti hian bolen ik ko koi fark nhi parta kyun k he has gotten over you	Mixed
punjab k elawa b sub ny e pmln ko vote dya hai is dfa pakistan k mendate py aka dala gya hai	Roman Urdu
pakistani 313 lanat ha ik ki sayasat pe ye wohi hain na jo musharaf k door main pm reh chuky hain	Roman Urdu
alamgirmian geo sherrrr bilkul sahee tarjumani ki hai ap ne pmln workers ki aap ne hamaray dil ki bat ki hai	Roman Urdu
nayapakistan naye pakistan me purana nic chalega ya naya banwana parega khuwar hokar	Roman Urdu
mqm waloun ab batao karachi kiska ab sirf imran khan ballay pe nishaan	Roman Urdu
thankyou young guns of pti imran khan ka voter bara ho gaya ha we can see that victory all the way allhumduillah	Mixed
pmln chorr do punjab ka peecha	Roman Urdu
to kesy hain aap log	Roman Urdu
ipakistanee kpk mein to pashtoon tassub chlta hai sab ko pta hai pti ne kpk mein pashtoon pm ka card becha tabhi kpk mein vote pra hai	Roman Urdu
pata nahi imrankhan pakistan ka modi hai ya nahi but mujhe sahi lag rha hai banda	Roman Urdu
primeministerimrankhan nayapakistan	Roman Urdu
khsaad rafique d allah apko ik k hathoon zalil karvata rahy ameeen say ameen	Mixed
atleast qoum ko ab andaza ho jana chahiye ppp pmln aik hi page par hy woh hy pti ko hukumat nah dain	Mixed
loll he is saying aap bananay main mahir hain n these r ppl jinko ganjay jesa budhu last 35 40 saal ss ullu bana	Mixed
faysalalavi arey yeh main kya dekh raha hoon yeh pti waalay bhatta khors target killers k paas hukoomat ki khatir khud chal k aye ha	Mixed
immohajir smkaleemp aoqaat to mqm ki aaj bhi wohi hai jo pahlay thi har ek jamaat hamari hemayet hasil karnay kay leay minnat samajat kar rahi hai baqi yeh keh london walon ki khelayee mukhlooq kay baghal bachchay ki fatah pur jashan kafi manaykhez hai	Roman Urdu
jab is jesa cartoon jeet jaye toh samaj lo insaf ka rape huwa hai	Mixed
breaking news jacobabad pti k muhammad mian soomro 92274 vote lekar kamyab ppp k ajaz khan 86876 vote le sake	Mixed
aur abhi ye bhi na sochen k ik sb thk krdy ga abhi tou bht kuch honay wala hai agay dekhti jayen p	Roman Urdu
geo ne sub se pehlay bata dia tha ik ka uskay baad puri raat discussion ki thee ke usko pm bannay se kaisay roka ja sakta hai lanat	Mixed
uzemalik islamabad election 2018 main qaumi assembly kay nataij jari pti kay 116 pmln ki 64 ppp ki 43 azad 13 aur mma ki bhi 13 n	Roman Urdu
independents joining pti mna sana masti khel mpa ameer hassan khelvi mpa saeed akbar mna shabir qureshi mpa hanif	English
yes per game dalay gi kay pti pmln apnay banda kharay kerain gay aur pmln k kuch banday vote hi nahi dalenge	Mixed
muhammadpmln1 geonews urdu number pore nai hain waise ek way se pti ka rasta roka ja sakta hai	Roman Urdu
ager pti aleem khan and fawad ch main say hi koi ek cm punjab lana chahti hay tou mera khayal hay k fawad ch is more suitable candidate	Mixed
talathussain12 wese sir kitne crore milte han ap ko hr mahene pmln se ap k style se lgta ha k kafi milte han	Mixed
its not tehreek e insaf pti or imran khan yah pakistan ki jeet hai allah mere mulk ko or mere wazir e azam ko dushmano se bachaye	Mixed
nomanchaudhry kuin k yeh insan pmln ko khud chor kr gya ha	Roman Urdu
chalo aaj tumhe agar khayal aa hi gaya anaa ko utaar rakhnay ka tou ghurur ki chadar ko hum bhi taar taar krtay	Roman Urdu
madam aap ki bachat hogayee rehamkhan1	Roman Urdu
mqm walay bhi to kab se yehi bol rhy hain	Roman Urdu
wajskhan imrankhanpti maybe yeh video pti ko badnaam krne k liye bnayi gae ho ta k prhe likhay log pti ko bura bh	Roman Urdu
ammaddabbasi is trhn ke kai gltian hn na 167 main pti candidate ko independent likha hua h with 0 votes	Mixed
junaydmalik spartacusasli agreed kal fawad ch nay waziha kar diya hai k punjab ka cm pti say hi ho ga pervaiz elahi is not acceptable	Mixed
bund tayre hai na apki nawaz sharif ka peshaab pehny walla murtaza	Roman Urdu
g bilkul yaha khan ane wala hai	Roman Urdu
na159 se khabr i hy k patwario ny sher ki jga bher bakrio ko vote stump lga di sher smjh k hahaha is liye pti jeet gayi	Mixed
kashif koi aqal ko haath maarlo tum ahmadi kam aur pmln ki smt k member zyada lagtay ho	Roman Urdu
murtazazoaib aakbar84 paijaan jis hisab se recounting mei seats ja rahi hai pti ki lagta yehi hai k pti dhandli k	Mixed
rehamkhan1 hum in rigged elections ko nahin manti says pmln hum punjab ma hakumat bnayain gy silenceee	Mixed
imrankhanpti bhai asslam alaikum aap ko hamari taraf se bahut bahut mubark ho sir pti love you all	Mixed
arynewsofficial khaskum jahan pak bara bolta tha ik k khilaf dekha kahen ka nahi rahay ga jis nay bhi chor k talway chatay	Roman Urdu
rehamkhan leone kaisa diya electionpakistan2018	Roman Urdu
pti ko jeet tu phir bhi jana tha par is tharhaaan dhandli karne ki kiya zaroorat thi	Roman Urdu
imran khan pervez khattak ko cm kpk kyun nahi bana rahe pti ppp pmln mqm ik	Mixed
oye ranjhia tera dimaag satak gaya oye heer key bina yaara imrankhan imrankhanpti u got constructed lot of canc	Mixed
m shahbazsharif dr sahab hmari parti bohat mazboot hai oki shahbaz sharif ka ik ishara hazir hai laho hmara	Roman Urdu
rmshazib rana sahb billi k khawab m chichry pehly baet to punjab m pti bna rhy ha 2nd agar pmln bna b la to wo ha	Roman Urdu
pti using modi name for voting hahahaha	English
wese yeh election hmaare bary buzurg keh rhy hain k 1971 ki trha k electionpakistan2018 hain woh	Mixed
is ka randi rona sun lo	Roman Urdu
arshadbhatti323 bhatti shab hil gai je ya pher khush nahi mila pti se	Roman Urdu
dollar sasta ho raha hai bhai nayapakistan	Roman Urdu
ya allah ik ko pni hifz o amaan mein rakhin aur uss se mulk mein behtari aae ameen electionresults2018	Mixed
mera sab se bra asaasa overseas pakistani hain he is talking about me electionpakistan2018 imrankhan	Mixed
hukomat sazi k liye pti ka mqm se rabta pti ka punjab kpk sindh k governors hatany ka faisla saad rafique ki votes dubara ginti ki	Mixed
lyari say pti heeti hai wow	Mixed
beta baat or koi nae patwariyo ko waha waha mirchy lagi hai is baar jdr pehly nae lagi thi soj kr tum logo ki hath mei a gae	Roman Urdu
pti ka supporter hu amir liaqat ki jeet pe khush hojaoo ya khafa	Mixed
jugartist yaani 1 independent pti ko join kar ley to phir koi pti ka nawaz bhi nahi ukhaar sakta	Mixed
bs tm log jeto tu emandari se our pti jete tu wo paise date ha wah wah	Roman Urdu
pti nay he jeetna hai naa dal do	Roman Urdu
pmln walo koi khsaad rafique ko tasali de bechara boht dukhi hai	Roman Urdu
kjftelevision qaumi assembly k 267 halqon k sarkari nataij jari pti 115 pml n 64 ppp 43 mma 13 azad 13 mqm 6 pml q 4 gda 2 bnp 2 anp	Roman Urdu
muneebthakar maryamnsharif sheikhsafina muhamadjsafdar maliknoorawan5 saniaaashiq nawaz sharif k liye har had	Roman Urdu
syedihusain pti ne kuch nahi dia pmln hamaray darvazay nahi kharkati	Mixed
badla lein gy is janwar py zulm kia tum log katil ho	Roman Urdu
kalabagh dam ko hum nay wahan dafan kya hy jahan jinaah ko bhee dafan nhi kya	Roman Urdu
pervaizelahipml meharzaheer0 sir g agar yeh sach hy tu allah ky hukam sy izzat payn gy aur nahi tuu dehk lyn	Roman Urdu
syedamahinu pti join kurna koi bury bath tu nahi	Mixed
kia waqt hoga jab imrankhan wazireazam ke liye hlf utain gy	Roman Urdu
irumf imrankhanpti also shame on pti dono hi aik dosra ko bura bhala kahta tha	Mixed
samaatv khi operation pmln k kehnay say hua b nahi tha kyun k india ko nuqsan pmln ko nuqsan hay	Mixed
zarrii amircheemapti ab ye haar raha h tu bardasht nhi ho paa raha pmln walo se	Roman Urdu
sambhal k rakho tum e in sub mei pti haari hui hai dekh dekh k sakoon miley ga	Roman Urdu
ji bhai ma na90 sa hu hm na puri rat mehnat ki ha or again counting karwa kar pmln ko win karwaya ha	Mixed
parizey kisi ny yahoodi banaya kisi ny mushrik banaya kisi ny nashae banaya kisi ny zaani banaya magar allah ny wazeer e azam banay	Roman Urdu
eik baat tou clear hogi karachi ki awam zada smjdar hy lahoryioo sy in lahoryioo k lye khoton ki salaami electionpakistan2018	Mixed
sachai sub janthe hain but khalahi maklooq kisi ki nahi sunta	Roman Urdu
pm sahab ki nimmi nimmi muskurahat imrankhan primeministerimrankhan	Mixed
ul hasan mashaallah kia by ha pmln kabi kuch smqureshipti fawadchaudhry imrankhanpti in sub ko chorna ni my dear leader t	Roman Urdu
daribaalam talpur rukhsana teepusahab imrankhanpti yes i hope ik doesn t make bani gala as another jaati umra btw bani gala is gift from jamima and that is peanut for her it were she who provided old receipts for sc case and khan was declared sadiq and ameen by nisar sb	English
pmln nay economy ko destroy kr dia hai new government ko lazmi imf say support laini chahiye pti imf	Mixed
a fatima0 welcome to naya pakistan qurabaniyon sy is ka safar hum ny 70 saal ma tah kia nayapakistan	Mixed
pakistan ko army aur isi ki government mubarak ho pakistanelections2018 pakistandecides imrankhan	Mixed
arainsohail94 hahahaha jis ko jo bolna hai boly allah pak to ub ik k sath hn	Roman Urdu
yaar yeh sara khacra aik saath mil jaye tou kya they can form govt in pakistan ppp pmln anp mqm	Mixed
massiverigging umpire ne he pakistan tabah kerdiya hai	Mixed
ye tone 2013 vaale imran khan ki hai electionpakistan2018	Roman Urdu
inshallah bohat enjoy kar lia but aik baat hai abi tak pata nahi kis khush fahmi main batha howa hai k shayad ik mujay bakhash day	Mixed
aisay lag raha hai koi khawaab hai jis main ji rahey hain matlab k imran khan as pm of pakistan we have sooo happy	Mixed
aj pta chala mahwashajaz uthao bhi ha	Roman Urdu
keh do apny leaders se baita rt se kch nhi hoga keh fy parliment m ja kr hum kolengy jitny b halqy hai hamara khan	Mixed
2w sal sy kutty jo bhonk rahy thy aj ik ny un sab ke dum par paoun rakh deeya ha	Roman Urdu
lyari sy pti jeet gai hai no less than a miracle	Mixed
agli vari lahore be pti ka ho ga q k 5 sal ab khoty ka ghost nai mely ga en ko khany ko	Roman Urdu
sf babar sir my balochistan se ho yaha pakhtoono ke 7 both na insafi vii hy pmap ne bi kuch ni kia	Roman Urdu
o osteam zaidzamanhamid anp wale buri tarah haare hain naa isi liye aise bakwas krrhe aur ye bratherz nahi hain	Roman Urdu
imran khan ne kpk mai kiya kia hai clean sweep ik imrankhan electionpakistan2018 kpk primeministerimrankhan	Mixed
hahahahah nanhay munnay kakkay farooq sattar ko mahngia par gya ik jumla	Roman Urdu
gair sarkari or gair hatmi khabron k mutabik chul bhukhari ko ors ki bottle laga di gye hai electionresults	Mixed
10 rupy de pepsi pm mera sexy primeministerimrankhan	Mixed
jalo mat khoon kharaba target killing bhattayand thappay ka time gyaaa	Roman Urdu
iyyazpk afaqhus je bilkul hum nay itnay boray halat me mqm golimar jaisi party ka muqabla kiya well done pti khi and brave workers	Mixed
yeh harkat do din se chal rahi hai	Roman Urdu
naye pakistan main sabsy phely nadra k camero main b612 install kia jaye pti ki sari ladkiyoun ka khan sahab se phehla mutalba	Roman Urdu
jui walay bhi islam ka libada urh k ak chuss hain ecp k mutabik 115 seats imran k pass hain han ap k ameer	Roman Urdu
bhai pehlay jaan laiva gandi thi ik k anay say roz mara jesi gandi hoi hai apnay imaan say btao	Roman Urdu
to kia pti wale wese betinge	Roman Urdu
khansahab prime minister pakisan ki ab takkk bestest speech dil ko lagne wali wazireazamimrankhan	Mixed
hahahahahaha pti ko jitnay bhi denizen vote paray hain woh isi wajah say tho milay hain	Mixed
election 2018 pti 1 68 57 035 pml n 1 28 94 225 pp 68 94 296 azad 60 11 297 mma 25 30 452 tlp 21 91 679 ko votes mile ecp	Roman Urdu
good to see pakistan ko isi cheez ki zarorat ha chahy koi bhi jeety pakistan na haray thankyoukhalaikhoty	Mixed
love you khan sahab allah bless you with healthy and long life jugg jugg jeeeo cheetay ge2018 pti primeministerimrankhan	Mixed
allah kry aesa na ho ppp na ho pti ko dakhty haii kia tabdeli latii	Roman Urdu
jahangir tareen ka mqm k khalid maqbool siddiqui se raabta hakumat sazi k liye mil baith kar baat karne per aamadgi mulaqat jald mutwaqay	Roman Urdu
ary pti geo pmln aaj ppp ptv kapas ki fasal py american sundiyo ka hamla	Roman Urdu
murtazaviews ik ek 420 ka shahara la kar tum pak ka pm ya cm bana raha ho ek chor apna sath sath raka wa hai baatan change ki karta ho phaly ghar sy start karo ik agar sharm ni ati tu kise sy mang lo ya hai naya pakistan ik koi sharm hoti hai haya hoti hai	Mixed
pmln 127 pti 121 ppp 6 independent 27	English
chulbay do takay kay chooray insan bc aeson ko ghar me koi remote nahi pakarnay deta yahan batein chodnay ajatay	Mixed
bhai wo ik ka apnay paisoon ka ha pm house tax and gov paisay ka chalo koi ni rootay raho koi nahi sunnay ga	Mixed
haan to ye pti ko sochna chaye	Roman Urdu
pti ko clear mandate de k karanchi walon ne sabit kar diya hai paan khana behter hai khota khori se	Mixed
nayapakistan naye pakistan mn har single ko double kia jy ar lays mn hawa kam ar lays zaida barhy jain	Mixed
rehamkhan1 kuttay bhonkty rehty hain aor karwan chalta rehta hay zaleel aurat tery ye bebunyad aor bekaar tajz	Roman Urdu
kesi ne ik ko iqtedar se door nhi rakha ik ne 22 saal pehlay jo beej boya thaa ab wo 18 saal ki jadohad se drakht ban gaya	Roman Urdu
aftabiqbal sir imrankhanpti ki gov signal tornay pay 5000 fine rakh day yeh qoum tub theek ho gaee baqi jo marzi kar loo 500000 ki sharat hay mari taraf say imrankhanprimeminister electionresults2018	Mixed
naye pakistan ka pehla din hai aur adhi se zyada awaam is nishaan ko kesay mitana hai yeh soch rahi hai	Roman Urdu
mansoor ali sarkar kabi wo clip b post kar diya krain jo pmln or pmlq ki ak dusary k liye hain	Mixed
electionpakistan2018 niklopakistankikhatir pakpattan ki team apni madat ap k tahat ma or mary janbaz dost ny m	Mixed
haha yar kasam se tm noon or mqm walay palti maar lete ho abhi tou zarorat hai apki parties ko ap ki	Mixed
ppp wly khty hen hum liyari sy kese har skty hen wo hmara ghar h inko koi samjhao diaper jb ganda ho jaye to badal	Mixed
hafsakazi91 jaa k 5 saal arm kro khamkha taklf may rkaa hy khud ho nayapakistan	Roman Urdu
daryakhan 8 hazar se meri jeet ko 14 hazar main tabdeel kiya gaya pmln k umeedwar pp 90 irfan ullah khan niazi ki press conference	Roman Urdu
imrankhan ko agar india ke sath achha rista chahte hai to kashmir bhul jana chahiye	Roman Urdu
mama ne maid ko kaha tha k dua krna imran khan k liye takay wo jeet jaye aj maid kheti baji 100 to den imran khan k jeetne pe	Mixed
jigers2 sfartst mansoor ali pti ko oqat sy zayda seats mill gyi hyan apas mea kutton ki tara laar laar kar maar	Mixed
shkhrasheed ap bi tu boot polish ker k baney pti ki tarah	Roman Urdu
islamabad pti ne mulk bhar se clean swip kar dia imran khan k ghar bani gala k bahar karkuno ka jashan aitraf me army commandos tainat	Mixed
syedashehlaraza pti ne akhir bhutto mar hi diya abh kis ki lash per politics kero gaye	Mixed
haha tm rkho mqm mja zeher qabool ha mqm nai	Roman Urdu
bs khana ab sub apna blue pichwara leker photo lagaye gy gt electionpakistan	Mixed
saimaaaz ashirazeemgill oh hello agar khuda na khaasta bilawal pm banta banti to yeh comparison valid hota i	Mixed
chai ki piyali posham posh banglay ka taala toot gya 100 rupay ki ghari churai ab to daaku pakra gaya pmln	Roman Urdu
ab tak tu tlp ko yaqeen agaya ho ga un kion kesy aur kis tarah istmal kiya agar ab bhi samajh na aye tu aqal per m	Roman Urdu
liaqat ali khan k bad imran khan pm from karachi am i right	Mixed
imrankhanpti bakwas koi tm logo say seekhay zara yehi apnay uncle zardari or chacha nawaz ko bhe bolna	Roman Urdu
haha janb ab yaad ai hai job khan kehta tha tu tb kehan thy	Roman Urdu
kdastgirkhan na jhukae thae na jhukae hain bus corruption karain gain pmln	Mixed
khan sb dr yasmeen rashid ko cm punjab banayain as a insafian mujhay lagta hai un se behter koi nahi insafian plz trend dryasmeenforcmpunjab imrankhan	Mixed
duraniiftikhar sir ik ko apna personal secretary kis ko lagana chahiye ik ko rauf klasra or haroon rashid sy help lani chahiye	Mixed
bhai 126 din yaad hain ajao sarkon pr pti recounting ptifamily	Mixed
kamran se siasatpk apny bachao pti ky 12 mpa pervaiz elahi ky haq mi ja rhy hain or 4 ny hamza sy time mang lya hy	Roman Urdu
waeedawan aik clear mna ki seat asif bajwa k azaad kharray honay ki wajah say pti haari hai	Mixed
shahzoo khi mshariqz tayyabmemon bhai pure pakistan ka stat 55 karachi ka 39 diffrence 16 bat khatam ab	Mixed
ye meri zaat ki nahi mulk ki baaat hy ik	Roman Urdu
sumair1993 pakistan ka mustaqbil imammehdi goharshahi ke farmudaat ki roshni mein watch alratv live everyday at 10 00pm uk h	Mixed
yar ik jin electables ki wajah se wazir e azam bnanay ja rahay hain kia in old black sheeps kay saath tabdeeli layi jayegi	Mixed
aamir liaquat bill paish kryga galiyan bakny k muqtalif andaz parliament me electionresults2018	Mixed
aesi dhandhli karo ga yahan se pmln ko vote doge wahan se pti ko nikle ga	Roman Urdu
sadat younis q k afridi aur shreef family ka apas mai buhat purana relation hai ayub afridi etc tbi is bnday nay pmln ko support kiya	Mixed
lakin ap ny paisy lai k ticket diye na logon ko mjhy pata chal gaya	Roman Urdu
mahajir jise apna le aik bar phr dil o jaan se nibha k dikhate hain jese is br ik ka sth dia	Roman Urdu
pak army world s best army jo isk khilaf khrra ho ga wo khraa rhny ka kabil e nahi rahy ga inshaaallah ye promise h hm patriots ka rip pmln pakarmydefenc iqrarulhassan pmln officialdgispr	Mixed
mery khyal mein karachi wali rakhni chahiye warna dobara elections pr log naraz ho kr mqm ko vote de skty hain	Mixed
fawadchaudhry sir pti na shahid khaqab abbasi waley halkey mein recounting ko oppose kar key u turn nahi mara change of strategy show ki hy isn t it pti generalelection2018	Mixed
inshaallah i want aleem khan sahab as cm punjab	Mixed
lyfrock1 cmshehbaz ye pti ka worker hy jo abbottabad me shaheed hua	Mixed
zindabad imran khan dill jeet liya inshaallah ab bany ga nayapakistan	Roman Urdu
koi london avenfield walon ko methai dy k aya k nai bablo ko primeministerimrankhan electionpakistan2018 pti	Mixed
pakprimenews sherryrana11 ye pmln k ghunday fasaad phailana chah rahe hai inko awaami faisale ki qadr kr k mandat	Mixed
hassannisar kyu ki iss bar pmln rigging nahi kar saka	Mixed
abhishekm1976 majorpoonia anuttar pmoindia adgpi bakriyon ko ja k tum sanbhalo endia mn to janwer b surakhshit	Roman Urdu
maham zaini umarcheema1 hahahahahahaah ch nisar ko n ya n s dakoo na ni haraya pti kay gulam sarwar na haraya ha ok	Roman Urdu
electionresults2018 koi naeem ul haq ka munhband kraye ga	Roman Urdu
ya sab aik jaga aik hi picture ma mashaaallah allah waqai izat zilat tara hath ma ha pti walo ka liya achi khabar	Roman Urdu
hamidmirpak hamid meer pti ky khilaf jo boly u alwys pick it up rooo kar jeo ab 5 sal	Mixed
theinfamouskazi tumne pti ka larka tau set kia hua hai	Roman Urdu
ab agar bolion par chalan ga to pmln saab say acha kharedati ha	Roman Urdu
pti pagal hai jo tum logon ko hukumat banane de sirf 4 seats ziada hain tum haramkhoro ke	Mixed
yarr nai idher aur b bara kuch matter krta ticket allocation party unity punjab main party main apni b laraian hain	Mixed
billo rani zara khayal se pti main zaidhater pathan hain	Roman Urdu
tayyabmemon balach here 2nd leading party hai karachi ma pti or bs ak seat rkh skta wo	Mixed
aadiiroy pmln ki dhandli py fojji bhaio ny sai reault count kar k sabit kar diya k dhandli ka mukamal bicoot hy	Mixed
karachi ppp ka 40 saal bad lyari se safaya na 246 se pti k shakoor shad kamyab bilawal ko shikast ps 107 se pti	Roman Urdu
pmln buray tareqay say phuns gai hakomat bnaian ya ehtajaj karain dunya kamran khan ke sath	Roman Urdu
hamzacheema226 chlo mqm hi sahi	Roman Urdu
karachi mei pti chakkay maar rahi hi	Roman Urdu
aaj se 2 3 saal pahle pmln k supporters kaha krte the imran khan ne pm kia bana hai osk hath main toh pm ki lakeer hi ni	Roman Urdu
24 polling stations na 200 larkana chairman bbhuttozardari 6757 jui gda mma 2333 ps 10 larkana adi faryal talpur 60	Mixed
islamabad hamari sari polician kamzor tabqay ko uthanay keliay banay gi tajir brotheri ke sath milker polician banaien gay imrankhan	Roman Urdu
geonews urdu saad rafiq pti ka umeed war tha	Roman Urdu
imrankhanpti bhai maaf kerdo aur celebrate karo mahatama ik ka jashan allah hafiz	Mixed
charsada wali bagh me anp ki markazi qayadat ka asfandyar ki sadarat me hangami ijlas intekhabat k nataij or ainda lahe amal par ghaor	Roman Urdu
pti wali har jaga gali gali mai firing kar rahi ha jis peshawar 2 afrad janbahaq hui ha lihaza esy rok liyia jai	Mixed
naima malick tariqkatel sarkari vote pmln ky zaida hain umeed ha plmn he jeety gy	Roman Urdu
hamidmirpak mir sb abb karna kya hy hoga kya 21 billion ka kahain parties ko k yeh apni jaib sy pay kar k phi	Mixed
umarcheema1 tu zinda hai abhi tak mujhe laga 26th july ko teri nout hogayi hogi heart attack se khair abhi nahibtoh 14th august ko ho jayegi jab ik will take oath as pm of pakista	Mixed
meri request hai kay ik ko meethi batoun mein koi na aye kay jon say halkay khulwanay hai khulwa lu	Roman Urdu
purane pakistan mai bej do pmln walon ko	Roman Urdu
gofj abhi to hakoomet sharoon nahi ki pti nain oar pti ko asi kali ghatian nazer ana sharoon gi	Roman Urdu
aayi aayi pti vice chairman pakistan tehreek e insaf smqureshipti wins na 156 multan jeetaygakaptaan	Mixed
malakand region total na 10 pti win 8 na total pk 24 pti win 18 pk wazireazamimrankhan	Mixed
electionresults2018 electionresults pahley hi koi larki lift nahi karaati ab aisa prime minister bhi mil gaya	Mixed
shukar alhamdulillah ali zahid winner of na 74 pasrur sialkot 3 sherrrrr ik vari fer	Mixed
khan sb yeh jkt ko manna karein yeh cheeni zubaan mein mujhe pti join karne ka keh raha hai jo hua so hua	Mixed
jo jamat phele wafaq ma hakamot ur phir sindh ma cm lane ka dawa karte thi wo 2 caror ki abadi wale city ma wo 1 lakh votes bhi nahi la saki ur ab election kay bad se gayab hain fauziakasuri kamalpsp	Mixed
o lagda pti da aa	Roman Urdu
sam31528147 ani see date in news ab tu bas zee news sunta hai to mai kya karu ani pti ke site pe search kar le	Mixed
aesy show kr rahy hn jesy pmln k pass koi aladin ka chiragh th k unk jeetny se pak bach jata r ab imran k any se barbad hojay ga	Mixed
yeh koi jeet nahi balkay tum logo nay sabit kar dia kay chor kon hay thanku pti	Mixed
umarcheema1 sir srf bat ya ha ju abi kah rahy pti uhn bacharu ko raja zafar ul haq report k nah pata in ko ya nah	Mixed
ap logon ko sarko pr bhi anay ki zaroorat nahi prime minister imrankhanpti nay apko on live offer ki ha khulwa lay	Mixed
yar pti 5sal inhi se to larti rahi hai	Roman Urdu
performance in karachi hahhahahahahhahaha ab mqm k hissay k kaam bhy pti per daaldo	Mixed
ayeshaijazkhan yar kuch to khuda ka khof karo wesy mukhalifat knbhi hadh hoti hai apko ik sy kia dushmani apto bil	Roman Urdu
blkl sahi	Roman Urdu
ye bhi almost 80000 votes le kar haar gaya	Mixed
ik wari fir zalalat noon league walo koi sharam hoti hai haya hoti shahid khaqan abbasi lol na57 kaptaan ka	Roman Urdu
soteye raho rana sana khaja asif haar kr pher kamyab karar yasmin rashid aleem khan usman daar har gaye	Roman Urdu
peir munim shah amarbangash what is this non sense ss ki is liye reject hoe k dosri dafa hai mazak bana dala hai pti walon ne	Mixed
nazranayusufzai adamant khattak puts imran khan in difficult situation	English
visalsays noon pmln ki haina	Roman Urdu
ali muhammadpti mri pti ki aala qaydat sy guzarish h kay ali muhammad khan sb ko wazer e dafa bnaya jay sheri mazari sahiba ko nai plz plz	Mixed
rigging tu pti k sath ho rahi hai ye dosri parties ne q randi rona start kar rakha hai	Mixed
ajaykantfl imrankhanpti apni indian media sey bolo ik per predictions dena band karay	Mixed
ipakistanee khod ko change karo pakistanio ik akaylay to change lanay se raha	Mixed
yaar usko tag bhi tu karo rehamkhan1 jiski waja se itne vote pti ko parey	Roman Urdu
defencedotpk ahahahah vo toh dikh raha hai ki kon ro raha hai ik press conference mein kaise pakistan ki gare	Mixed
har guzrtay lamhay ke sath mjhey dafan kia jarha ha apka apna purana pakistan electionpakistan2018	Roman Urdu
bakri ki mein mein nay bakri ko maar diya	Roman Urdu
teammpti imran khan wazir e azam nhe ban skta kehny wly chutya apna mou mubarik dikhaien lanat bhjni hy zra absirfimankhan	Roman Urdu
kuch ka karo bhai population census karwado dobara karachi ki abadi 3 crore hai according to nadra	Mixed
karachi mein ura diya hai mqm ko	Roman Urdu
sub gnda hai pr dhanda hai ye nayapakistan	Roman Urdu
hukomat sazi k liye pti ka mqm se rabta pti ka punjab kpk sindh k governor hatane ka fesla saad rafique ki vote dubara ginti ki darkhwast	Roman Urdu
mqm ki namaz e janaza kab hogi	Roman Urdu
khokharr777 inshaallah pti will set a govt in punjab	English
shayed he itne bijli pakistan ka kis city mein jati hogi jitna ki sindh ka dadu city mein bhai hum maar chuka hai	Mixed
greatkingmisbah g lakin ab mqm jesy rola daal rahe sari zindagi dhandlyy krtii ae ab nae ho saki to shor dal diaaa	Roman Urdu
sindh assembly ki nashisten ppp 74 pti 18 mqmpak 12 gda 11 tlp 3 pml n 1 par kamyab karachi me qaumi assembly ki 12 seats par pti kamyab	Roman Urdu
kdastgirkhan bhai inn ka qasoor nahi ha pti kay sab supporters ka opper ka khanna khali ha	Mixed
tareek mai lekha jaega k mqm k pas karachi mai 6 seat ho ya 20 mukhalif ho ya himayati ana he parta ha mqm k pas for govt	Mixed
lota kahi ka	Roman Urdu
aur kitna intexar karna hai pakistansprideimrankhan primeministerimrankhan pakistanelections2018	Mixed
agar parvaiz elahi pti main shamil hony par tiyar ho jaye tu us se behtar koi nahe punjab chala sakta or wo ss ka sara asar khatam kar sakta	Roman Urdu
kainatfarooq jisny mqm ko mqm banaya iss ka naam mad lyna bayghairat log	Roman Urdu
